,Company_name,Rating,Reviews,Intrviews,Total_jobs,About
184,Pidilite Industries,4.3,2.5k,124,32,Chemicals | 5k-10k Employees | Public | 64 years old | Mumbai +214 more
185,Atos,3.8,2.5k,175,6,IT Services & Consulting | 201-500 Employees | Forbes Global 2000 | 26 years old | Vilnius +37 more
186,Bharat Electronics,4.1,2.5k,143,--,Consumer Electronics & Appliances | 5k-10k Employees | Fortune India 500 | 69 years old | Bangalore/Bengaluru +41 more
187,Publicis Sapient,3.6,2.5k,299,189,IT Services & Consulting | 10k-50k Employees | 33 years old | New York +22 more
188,Alkem Laboratories,3.9,2.5k,109,21,Pharma | 10k-50k Employees | Public | 50 years old | Mumbai +141 more
189,Indian Air Force,4.6,2.4k,33,--,Defence & Aerospace | 1 Lakh+ Employees | 91 years old | New Delhi +109 more
190,Hindalco Industries,4.2,2.4k,118,7,Metals & Mining | 10k-50k Employees | Public | 65 years old | Mumbai +76 more
191,Alembic Pharmaceuticals,4.0,2.4k,146,43,Pharma | 10k-50k Employees | Public | 116 years old | Vadodara/Baroda +133 more
192,Hindustan Coca Cola Beverages,4.3,2.4k,86,63,Beverage | 5k-10k Employees | 26 years old | Bangalore +203 more
193,R1 RCM,3.9,2.4k,177,32,BPO | 5k-10k Employees | 20 years old | Murray +24 more
194,DCB Bank,3.9,2.4k,119,35,Banking | 5k-10k Employees | Fortune India 500 | 93 years old | Mumbai +293 more
195,Wipro Infotech,4.0,2.4k,104,--,IT Services & Consulting | 1 Lakh+ Employees (Global) | MNC | 78 years old | Bangalore +117 more
196,Access Healthcare,3.9,2.4k,133,47,IT Services & Consulting | 5k-10k Employees | 12 years old | Dallas +27 more
197,Vishal Mega Mart,3.8,2.4k,111,9,Retail | 10k-50k Employees | 15 years old | Gurgaon/Gurugram +306 more
198,Barclays,4.1,2.4k,125,43,Banking | 10k-50k Employees | Forbes Global 2000 | 333 years old | London +29 more
199,ITC Infotech,3.5,2.4k,194,96,IT Services & Consulting | 10k-50k Employees | 23 years old | Bangalore/Bengaluru +47 more
200,Wipro Consumer Care & Lighting,3.8,2.4k,40,32,FMCG | 1k-5k Employees | 78 years old | Bangalore/Bengaluru +87 more
201,Tata AIA Life Insurance,4.1,2.4k,115,--,Insurance | 10k-50k Employees | 22 years old | Mumbai +287 more
202,Glenmark Pharmaceuticals,4.0,2.4k,82,42,Pharma | 10k-50k Employees | Public | 46 years old | Mumbai +128 more
203,Maersk,4.3,2.4k,103,108,Logistics | 10k-50k Employees | 119 years old | Copenhagen +31 more
204,ABB Group,4.1,2.4k,122,--,Electrical Equipment | 1k-5k Employees | Public | 35 years old | Zurich +92 more
205,Ipca Laboratories,4.0,2.4k,105,23,Pharma | 10k-50k Employees | Public | 74 years old | Mumbai +115 more
206,Axis Direct,3.9,2.3k,58,11,Financial Services | 1k-5k Employees | 12 years old | San Mateo +267 more
207,NatWest Group,4.1,2.3k,111,--,Banking | 10k-50k Employees | Forbes Global 2000 | Gurgaon/Gurugram +22 more
208,Aakash Educational Services,3.6,2.3k,176,133,EdTech | 10k-50k Employees | 35 years old | New Delhi +194 more
209,Bank of America,4.4,2.3k,137,1,Banking | 10k-50k Employees | Fortune India 500 | 25 years old | Charlotte +27 more
210,CMS IT Services,3.1,2.3k,85,10,IT Services & Consulting | 5k-10k Employees | Startup | 9 years old | Bangalore +133 more
211,MRF Tyres,3.7,2.3k,205,23,Auto Components | 10k-50k Employees | Public | 77 years old | Chennai +161 more
212,DTDC Express,3.8,2.3k,95,61,Logistics | 1k-5k Employees | 33 years old | Bangalore/Bengaluru +219 more
213,Aarti Industries,4.1,2.3k,200,60,Agro Chemicals | 5k-10k Employees | Public | 48 years old | Mumbai +41 more
214,Honda Motorcycle & Scooter,4.2,2.3k,97,--,Automobile | 5k-10k Employees | 24 years old | Gurgaon/Gurugram +198 more
215,Paras Hospital,4.6,2.3k,43,45,Healthcare | 5k-10k Employees | 17 years old | Gurgaon/Gurugram +41 more
216,24/7 Customer,3.6,2.3k,148,24,BPO | 5k-10k Employees | 23 years old | San Jose +22 more
217,Reliance Nippon Life Insurance,3.9,2.3k,96,4,Insurance | 10k-50k Employees | 23 years old | Mumbai +417 more
218,Jindal Steel and Power,3.9,2.3k,189,17,Iron & Steel | 5k-10k Employees | Fortune India 500 | 44 years old | Delhi/NCR +101 more
219,Berger Paints,3.7,2.3k,184,58,Chemicals | 1k-5k Employees | Public | 100 years old | Kolkata +216 more
220,Utkarsh Small Finance Bank,3.9,2.3k,143,8,Banking | 10k-50k Employees | Public | 14 years old | Varanasi +279 more
221,Conduent,3.6,2.3k,119,71,BPO | 5k-10k Employees | 6 years old | Florham Park +20 more
222,HDFC Ergo General Insurance,4.0,2.3k,90,41,Insurance | 10k-50k Employees | Public | 21 years old | Mumbai +214 more
223,PolicyBazaar,3.4,2.3k,164,132,Internet | 10k-50k Employees | Public | 15 years old | Gurgaon +69 more
224,RBL Bank,3.7,2.2k,114,98,Banking | 10k-50k Employees | Public | 80 years old | Mumbai +200 more
225,Carelon Global Solutions,4.0,2.2k,232,7,IT Services & Consulting | 5k-10k Employees | Hyderabad/Secunderabad +9 more
226,Escorts Kubota Limited,4.1,2.2k,124,--,Automobile | 1k-5k Employees | Public | 63 years old | Faridabad +120 more
